uri,dataUpdated,units,sourceLink,initialPeriod,lastPeriod,sourceLabel,periodicity,referenceArea
http://www.icane.es/data/historical-data/population/demographic-analysis/fertility-rate-age-group-1900-2000,, Tasa de fecundidad: Nacidos por 1000 mujeres.,http://www.ine.es,1900,2000,Indicadores demográficos básicos. Reseña Estadística de Cantabria [1900-1950]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-analysis/nuptiality-average-age-1975-2000,, Edad media: Años.,http://www.ine.es,1975,2000,Indicadores demográficos básicos. Reseña Estadística de Cantabria [1900-1950]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-analysis/nuptiality-rate-1975-2000,, Tasa Bruta de Nupcialidad: Número de matrimonios por mil habitantes.,http://www.ine.es,1975,2000,Indicadores demográficos básicos. Reseña Estadística de Cantabria [1900-1950]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/education/students-enrolled-uc-titration,, Alumnos: Número.,http://www.unican.es,1975-1976,1999-2000,Educación universitaria. Universidad de Cantabria (UC),Anual,Regional
http://www.icane.es/data/historical-data/society/education/students-enrolled-uned-academic-course-study-plan,, Matriculados: Número de matriculados.,http://portal.uned.es,1980-1981,1999-2000,Educación universitaria. Universidad Nacional de Educación a Distancia (UNED),Anual,Regional
http://www.icane.es/data/historical-data/society/education/alphabetization-rates-census,, Tasa: Número.,http://www.ine.es,1860,2001,Alfabetización. Estadísticas Históricas de España [1860-1960]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/health-social-welfare/public-charity-hospice-nursing-1859-1984,, Número.,http://www.ine.es,1859,1975,Sanidad pública. Anuarios Estadísticos de España. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/health-social-welfare/public-healthcare-tuberculosis-control-1915-1989,, Lucha anti-tuberculosa nº asistidos en dispensarios: Número; Lucha anti-tuberculosa ingresos en hospitales en el año: Número de ingresos; Lucha anti-tuberculosa Hospitales: Número de hospitales.,http://www.ine.es,1918,1990,Sanidad pública. Anuarios Estadísticos de España. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/health-social-welfare/public-healthcare-insalud-payments-chapters-1983-2000,, Pago: Millones pts.,http://www.ine.es,1952,1982,Sanidad pública. Anuarios Estadísticos de España. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/health-social-welfare/public-healthcare-insalud-payments-programs-1983-2000,, Gasto: Millones pts.,http://www.camaracantabria.com,1983,2000,"Sanidad pública. Anuario Económico de Cantabria. Cámara Oficial de Comercio, Industria y Navegación",Anual,Regional
